End Time,0,Value,uniform (0 0 0)
End Time,0,Value,uniform (1 0 0)
End Time,0,Value,uniform (2 0 0)
End Time,0,Value,uniform (3 0 0)
End Time,0,Value,uniform (4 0 0)
End Time,0,Value,uniform (5 0 0)
End Time,0,Value,uniform (6 0 0)
End Time,0,Value,uniform (7 0 0)
End Time,0,Value,uniform (8 0 0)
End Time,0,Value,uniform (9 0 0)
End Time,0,Value,uniform (10 0 0)
End Time,1,Value,uniform (0 0 0)
End Time,1,Value,uniform (1 0 0)
End Time,1,Value,uniform (2 0 0)
End Time,1,Value,uniform (3 0 0)
End Time,1,Value,uniform (4 0 0)
End Time,1,Value,uniform (5 0 0)
End Time,1,Value,uniform (6 0 0)
End Time,1,Value,uniform (7 0 0)
End Time,1,Value,uniform (8 0 0)
End Time,1,Value,uniform (9 0 0)
End Time,1,Value,uniform (10 0 0)
End Time,2,Value,uniform (0 0 0)
End Time,2,Value,uniform (1 0 0)
End Time,2,Value,uniform (2 0 0)
End Time,2,Value,uniform (3 0 0)
End Time,2,Value,uniform (4 0 0)
End Time,2,Value,uniform (5 0 0)
End Time,2,Value,uniform (6 0 0)
End Time,2,Value,uniform (7 0 0)
End Time,2,Value,uniform (8 0 0)
End Time,2,Value,uniform (9 0 0)
End Time,2,Value,uniform (10 0 0)
End Time,3,Value,uniform (0 0 0)
End Time,3,Value,uniform (1 0 0)
End Time,3,Value,uniform (2 0 0)
End Time,3,Value,uniform (3 0 0)
End Time,3,Value,uniform (4 0 0)
End Time,3,Value,uniform (5 0 0)
End Time,3,Value,uniform (6 0 0)
End Time,3,Value,uniform (7 0 0)
End Time,3,Value,uniform (8 0 0)
End Time,3,Value,uniform (9 0 0)
End Time,3,Value,uniform (10 0 0)
End Time,4,Value,uniform (0 0 0)
End Time,4,Value,uniform (1 0 0)
End Time,4,Value,uniform (2 0 0)
End Time,4,Value,uniform (3 0 0)
End Time,4,Value,uniform (4 0 0)
End Time,4,Value,uniform (5 0 0)
End Time,4,Value,uniform (6 0 0)
End Time,4,Value,uniform (7 0 0)
End Time,4,Value,uniform (8 0 0)
End Time,4,Value,uniform (9 0 0)
End Time,4,Value,uniform (10 0 0)
End Time,5,Value,uniform (0 0 0)
End Time,5,Value,uniform (1 0 0)
End Time,5,Value,uniform (2 0 0)
End Time,5,Value,uniform (3 0 0)
End Time,5,Value,uniform (4 0 0)
End Time,5,Value,uniform (5 0 0)
End Time,5,Value,uniform (6 0 0)
End Time,5,Value,uniform (7 0 0)
End Time,5,Value,uniform (8 0 0)
End Time,5,Value,uniform (9 0 0)
End Time,5,Value,uniform (10 0 0)
End Time,6,Value,uniform (0 0 0)
End Time,6,Value,uniform (1 0 0)
End Time,6,Value,uniform (2 0 0)
End Time,6,Value,uniform (3 0 0)
End Time,6,Value,uniform (4 0 0)
End Time,6,Value,uniform (5 0 0)
End Time,6,Value,uniform (6 0 0)
End Time,6,Value,uniform (7 0 0)
End Time,6,Value,uniform (8 0 0)
End Time,6,Value,uniform (9 0 0)
End Time,6,Value,uniform (10 0 0)
End Time,7,Value,uniform (0 0 0)
End Time,7,Value,uniform (1 0 0)
End Time,7,Value,uniform (2 0 0)
End Time,7,Value,uniform (3 0 0)
End Time,7,Value,uniform (4 0 0)
End Time,7,Value,uniform (5 0 0)
End Time,7,Value,uniform (6 0 0)
End Time,7,Value,uniform (7 0 0)
End Time,7,Value,uniform (8 0 0)
End Time,7,Value,uniform (9 0 0)
End Time,7,Value,uniform (10 0 0)
End Time,8,Value,uniform (0 0 0)
End Time,8,Value,uniform (1 0 0)
End Time,8,Value,uniform (2 0 0)
End Time,8,Value,uniform (3 0 0)
End Time,8,Value,uniform (4 0 0)
End Time,8,Value,uniform (5 0 0)
End Time,8,Value,uniform (6 0 0)
End Time,8,Value,uniform (7 0 0)
End Time,8,Value,uniform (8 0 0)
End Time,8,Value,uniform (9 0 0)
End Time,8,Value,uniform (10 0 0)
End Time,9,Value,uniform (0 0 0)
End Time,9,Value,uniform (1 0 0)
End Time,9,Value,uniform (2 0 0)
End Time,9,Value,uniform (3 0 0)
End Time,9,Value,uniform (4 0 0)
End Time,9,Value,uniform (5 0 0)
End Time,9,Value,uniform (6 0 0)
End Time,9,Value,uniform (7 0 0)
End Time,9,Value,uniform (8 0 0)
End Time,9,Value,uniform (9 0 0)
End Time,9,Value,uniform (10 0 0)
End Time,10,Value,uniform (0 0 0)
End Time,10,Value,uniform (1 0 0)
End Time,10,Value,uniform (2 0 0)
End Time,10,Value,uniform (3 0 0)
End Time,10,Value,uniform (4 0 0)
End Time,10,Value,uniform (5 0 0)
End Time,10,Value,uniform (6 0 0)
End Time,10,Value,uniform (7 0 0)
End Time,10,Value,uniform (8 0 0)
End Time,10,Value,uniform (9 0 0)
End Time,10,Value,uniform (10 0 0)
